_ws.col.No.,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length
1,0.000000,192.168.86.213,255.255.255.255,UDP,218
2,0.000985,Google_55:94:7d,Spanning-tree-(for-bridges)_00,STP,52
3,0.001382,192.168.86.240,255.255.255.255,UDP,218
4,0.939888,192.168.86.234,34.203.91.157,TLSv1.2,124
5,1.039029,34.203.91.157,192.168.86.234,TCP,66
6,1.433514,192.168.86.204,224.0.0.251,MDNS,130
7,1.433962,fe80::11:81be:d0e0:b185,ff02::fb,MDNS,150
8,1.843282,192.168.86.224,255.255.255.255,UDP,218
9,2.047886,Google_55:94:7d,Spanning-tree-(for-bridges)_00,STP,52
10,2.252715,fe80::11:81be:d0e0:b185,ff02::16,ICMPv6,90
